labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels.1,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.268,0.155,0.995,1,"[0, 45, 0, 12]",0.292,0.182,0.727,1,"[0, 10, 0, 6]",0.266,0.153,0.995,1,"[0, 31, 0, 12]",0.275,0.014,0.163,0.016,0.906,0.155
40,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.291,0.181,0.75,6,"[0, 0, 0, 0]",0.266,0.154,1.0,9,"[0, 0, 0, 0]",0.255,0.149,0.864,6,"[0, 0, 0, 0]",0.271,0.018,0.161,0.017,0.871,0.125
60,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.291,0.173,0.905,6,"[0, 0, 0, 0]",0.27,0.157,0.982,7,"[0, 0, 0, 0]",0.267,0.155,0.945,5,"[0, 0, 0, 0]",0.276,0.013,0.162,0.01,0.944,0.039
80,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.282,0.166,0.932,7,"[0, 0, 0, 0]",0.275,0.16,0.982,11,"[0, 0, 0, 0]",0.287,0.171,0.895,5,"[0, 0, 0, 0]",0.281,0.006,0.166,0.006,0.936,0.044
100,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.274,0.16,0.941,7,"[0, 0, 0, 0]",0.269,0.156,0.982,12,"[0, 0, 0, 0]",0.282,0.171,0.795,6,"[0, 0, 0, 0]",0.275,0.007,0.162,0.008,0.906,0.098
120,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.281,0.166,0.909,8,"[0, 0, 0, 0]",0.297,0.184,0.782,10,"[0, 0, 0, 0]",0.306,0.193,0.736,6,"[0, 0, 0, 0]",0.295,0.013,0.181,0.014,0.809,0.09
140,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.292,0.178,0.8,7,"[0, 0, 0, 0]",0.32,0.207,0.705,9,"[0, 1, 0, 0]",0.308,0.206,0.605,7,"[0, 0, 0, 0]",0.307,0.014,0.197,0.016,0.703,0.098
160,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.293,0.181,0.777,7,"[0, 0, 0, 0]",0.309,0.207,0.605,6,"[0, 5, 0, 1]",0.292,0.192,0.609,6,"[0, 0, 0, 0]",0.298,0.01,0.193,0.013,0.664,0.098
180,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.302,0.203,0.586,4,"[0, 16, 0, 3]",0.294,0.183,0.745,5,"[0, 11, 0, 1]",0.27,0.161,0.855,5,"[0, 2, 0, 1]",0.289,0.017,0.182,0.021,0.729,0.135
200,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.297,0.188,0.709,4,"[0, 11, 0, 1]",0.316,0.206,0.682,6,"[0, 6, 0, 1]",0.273,0.162,0.882,6,"[0, 0, 0, 0]",0.295,0.022,0.185,0.022,0.758,0.109
220,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.318,0.205,0.709,4,"[0, 11, 0, 1]",0.305,0.189,0.795,6,"[0, 6, 0, 1]",0.273,0.189,0.491,6,"[0, 0, 0, 0]",0.299,0.023,0.194,0.009,0.665,0.157
240,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.3,0.204,0.568,4,"[0, 12, 0, 1]",0.316,0.242,0.455,1,"[0, 82, 0, 28]",0.287,0.19,0.582,5,"[0, 6, 0, 0]",0.301,0.015,0.212,0.027,0.535,0.07
260,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.309,0.204,0.636,4,"[0, 17, 0, 1]",0.338,0.221,0.718,8,"[71, 0, 3, 0]",0.279,0.206,0.432,1,"[0, 93, 0, 17]",0.309,0.03,0.21,0.009,0.595,0.147
280,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.308,0.203,0.636,4,"[0, 24, 0, 2]",0.316,0.232,0.495,3,"[0, 35, 0, 1]",0.284,0.177,0.714,11,"[226, 1, 14, 1]",0.303,0.017,0.204,0.028,0.615,0.111
300,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.307,0.204,0.618,4,"[0, 23, 0, 3]",0.338,0.227,0.659,4,"[1, 25, 0, 1]",0.286,0.207,0.464,2,"[0, 83, 0, 19]",0.31,0.026,0.213,0.013,0.58,0.103
320,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.321,0.228,0.541,3,"[0, 25, 0, 3]",0.315,0.233,0.486,3,"[0, 29, 0, 2]",0.291,0.177,0.823,3,"[24, 43, 0, 8]",0.309,0.016,0.213,0.031,0.617,0.181
340,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.291,0.207,0.486,4,"[4, 24, 0, 0]",0.307,0.231,0.459,3,"[6, 32, 0, 5]",0.312,0.203,0.682,5,"[0, 0, 0, 0]",0.303,0.011,0.214,0.015,0.542,0.122
360,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.325,0.224,0.591,3,"[1, 33, 0, 6]",0.347,0.242,0.614,3,"[9, 42, 0, 6]",0.326,0.248,0.477,6,"[0, 0, 0, 0]",0.333,0.012,0.238,0.012,0.561,0.073
380,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.312,0.238,0.455,3,"[0, 36, 0, 7]",0.316,0.245,0.445,1,"[0, 125, 0, 41]",0.308,0.226,0.482,4,"[0, 9, 0, 6]",0.312,0.004,0.236,0.01,0.461,0.019
400,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.272,0.183,0.532,4,"[1, 15, 0, 8]",0.343,0.265,0.486,8,"[199, 3, 17, 3]",0.305,0.198,0.659,5,"[0, 7, 0, 5]",0.307,0.036,0.215,0.044,0.559,0.09
420,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.253,0.205,0.332,2,"[0, 67, 0, 16]",0.326,0.251,0.464,3,"[0, 36, 0, 12]",0.326,0.224,0.6,2,"[0, 121, 0, 39]",0.302,0.042,0.227,0.023,0.465,0.134
440,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.298,0.197,0.609,4,"[4, 26, 0, 5]",0.298,0.236,0.405,3,"[0, 48, 0, 10]",0.305,0.232,0.445,4,"[0, 20, 0, 3]",0.3,0.004,0.222,0.021,0.486,0.108
460,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.252,0.2,0.341,2,"[0, 94, 0, 14]",0.293,0.231,0.4,3,"[1, 44, 0, 10]",0.318,0.231,0.509,5,"[0, 2, 0, 1]",0.288,0.033,0.221,0.018,0.417,0.085
480,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.299,0.207,0.536,4,"[1, 23, 0, 2]",0.301,0.227,0.45,3,"[3, 45, 0, 5]",0.33,0.228,0.6,4,"[0, 23, 0, 7]",0.31,0.017,0.221,0.012,0.529,0.075
500,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.307,0.222,0.5,2,"[0, 119, 0, 32]",0.274,0.224,0.35,4,"[0, 24, 0, 1]",0.311,0.229,0.482,2,"[1, 89, 0, 29]",0.297,0.02,0.225,0.004,0.444,0.082
520,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.272,0.217,0.364,2,"[0, 95, 0, 27]",0.292,0.211,0.473,3,"[5, 59, 0, 9]",0.32,0.244,0.464,2,"[4, 73, 0, 26]",0.295,0.024,0.224,0.018,0.434,0.061
540,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.266,0.22,0.336,3,"[5, 66, 0, 23]",0.262,0.211,0.345,2,"[9, 92, 0, 8]",0.375,0.335,0.427,5,"[0, 0, 0, 0]",0.301,0.064,0.255,0.069,0.369,0.05
560,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.255,0.217,0.309,4,"[0, 24, 0, 10]",0.29,0.228,0.4,3,"[9, 39, 0, 4]",0.337,0.261,0.477,4,"[0, 12, 0, 8]",0.294,0.041,0.235,0.023,0.395,0.084
580,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.306,0.272,0.35,3,"[1, 48, 0, 16]",0.249,0.201,0.327,2,"[2, 82, 0, 14]",0.322,0.271,0.395,3,"[0, 31, 0, 18]",0.292,0.038,0.248,0.041,0.357,0.035
600,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.367,0.312,0.445,4,"[0, 27, 0, 9]",0.297,0.24,0.391,3,"[4, 69, 0, 9]",0.373,0.29,0.523,4,"[0, 17, 0, 9]",0.346,0.042,0.281,0.037,0.453,0.066
620,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.317,0.197,0.818,3,"[0, 42, 0, 20]",0.278,0.231,0.35,2,"[0, 85, 0, 16]",0.313,0.247,0.427,3,"[0, 38, 0, 17]",0.303,0.021,0.225,0.026,0.532,0.251
640,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.277,0.192,0.5,4,"[0, 35, 0, 7]",0.348,0.24,0.632,4,"[8, 19, 0, 5]",0.312,0.218,0.55,3,"[0, 71, 0, 25]",0.312,0.036,0.217,0.024,0.561,0.067
660,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.298,0.191,0.682,3,"[0, 66, 0, 18]",0.297,0.247,0.373,4,"[0, 15, 0, 6]",0.316,0.254,0.418,3,"[0, 56, 0, 14]",0.304,0.011,0.231,0.035,0.491,0.167
680,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.397,0.379,0.418,4,"[0, 9, 0, 4]",0.315,0.262,0.395,3,"[0, 57, 0, 10]",0.314,0.232,0.486,3,"[14, 79, 0, 22]",0.342,0.048,0.291,0.078,0.433,0.047
700,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.346,0.297,0.414,4,"[0, 15, 0, 29]",0.284,0.223,0.391,3,"[0, 78, 0, 11]",0.343,0.261,0.5,3,"[1, 78, 0, 31]",0.324,0.035,0.26,0.037,0.435,0.057
720,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.35,0.269,0.5,3,"[0, 26, 0, 35]",0.311,0.248,0.418,3,"[1, 77, 0, 17]",0.381,0.301,0.518,3,"[0, 45, 0, 21]",0.347,0.035,0.273,0.027,0.479,0.053
740,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.352,0.306,0.414,3,"[2, 61, 0, 41]",0.318,0.253,0.427,3,"[0, 82, 0, 16]",0.339,0.249,0.532,3,"[7, 62, 0, 23]",0.336,0.017,0.269,0.032,0.458,0.065
760,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.409,0.36,0.473,3,"[0, 29, 0, 30]",0.292,0.264,0.327,3,"[0, 50, 0, 15]",0.327,0.318,0.336,3,"[0, 43, 0, 16]",0.343,0.06,0.314,0.048,0.379,0.082
780,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.402,0.366,0.445,3,"[0, 41, 0, 41]",0.351,0.283,0.464,3,"[4, 45, 0, 12]",0.341,0.332,0.35,3,"[2, 43, 0, 24]",0.365,0.033,0.327,0.042,0.42,0.061
800,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.403,0.325,0.532,3,"[0, 33, 0, 27]",0.353,0.277,0.486,3,"[0, 47, 0, 23]",0.407,0.357,0.473,3,"[0, 36, 0, 21]",0.388,0.03,0.32,0.04,0.497,0.031
820,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.424,0.356,0.523,3,"[0, 58, 0, 47]",0.399,0.314,0.545,3,"[9, 72, 0, 27]",0.362,0.301,0.455,3,"[0, 59, 0, 50]",0.395,0.031,0.324,0.029,0.508,0.047
840,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.421,0.346,0.536,2,"[0, 79, 0, 75]",0.363,0.291,0.482,4,"[13, 17, 0, 14]",0.389,0.301,0.55,3,"[1, 64, 0, 44]",0.391,0.029,0.313,0.029,0.523,0.036
860,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.394,0.34,0.468,3,"[2, 61, 0, 53]",0.34,0.289,0.414,3,"[0, 41, 0, 22]",0.402,0.329,0.518,3,"[0, 83, 0, 47]",0.379,0.034,0.319,0.027,0.467,0.052
880,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.434,0.427,0.441,3,"[0, 47, 0, 52]",0.397,0.319,0.527,3,"[4, 36, 0, 24]",0.354,0.265,0.532,3,"[0, 78, 0, 46]",0.395,0.04,0.337,0.082,0.5,0.051
900,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.404,0.367,0.45,4,"[0, 20, 0, 34]",0.344,0.284,0.436,3,"[0, 77, 0, 43]",0.41,0.352,0.491,5,"[0, 0, 0, 1]",0.386,0.036,0.334,0.044,0.459,0.029
920,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.354,0.331,0.382,3,"[0, 38, 0, 50]",0.33,0.27,0.423,3,"[0, 75, 0, 35]",0.473,0.435,0.518,3,"[0, 26, 0, 40]",0.386,0.077,0.345,0.083,0.441,0.07
940,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.446,0.433,0.459,3,"[3, 31, 0, 51]",0.374,0.317,0.455,2,"[1, 107, 0, 32]",0.427,0.384,0.482,3,"[0, 25, 0, 48]",0.416,0.037,0.378,0.058,0.465,0.015
960,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.442,0.377,0.532,3,"[0, 24, 0, 51]",0.361,0.299,0.455,3,"[7, 90, 0, 31]",0.417,0.383,0.459,3,"[0, 46, 0, 63]",0.407,0.041,0.353,0.047,0.482,0.043
980,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.444,0.363,0.573,3,"[3, 33, 0, 67]",0.364,0.307,0.445,4,"[47, 32, 0, 10]",0.377,0.36,0.395,3,"[3, 27, 0, 36]",0.395,0.043,0.343,0.032,0.471,0.092
1000,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.502,0.422,0.618,3,"[21, 45, 0, 49]",0.381,0.317,0.477,4,"[0, 12, 0, 6]",0.423,0.391,0.459,4,"[15, 4, 0, 11]",0.435,0.061,0.377,0.054,0.518,0.087
